"value" "AUC" "True prevalence" "type" "mean" "lower CI" "upper CI" "size.interval"
"5" 0.3164 "0.8" 0.01 "Max Youden - uncorrected" 0.0385027018535896 0.00583657587548622 0.0741989881956157 0.0683624123201295
"6" 0.0125 "0.8" 0.01 "High specificity - uncorrected" 0.0300104498613732 -0.00681198910081821 0.0635294117647068 0.070341400865525
"9" 0.3416 "0.8" 0.04 "Max Youden - uncorrected" 0.0411479130153207 0.00495272399819896 0.0735912531539107 0.0686385291557117
"10" 0.0143 "0.8" 0.04 "High specificity - uncorrected" 0.0627849648739878 0.0194346289752668 0.107709750566894 0.0882751215916272
"17" 0.356 "0.8" 0.01 "Max Youden - uncorrected" 0.0324118119117404 -0.00351031154014929 0.0662862159789289 0.0697965275190782
"18" 0.0118 "0.8" 0.01 "High specificity - uncorrected" 0.0236393719660864 -0.0250000000000012 0.0626598465473133 0.0876598465473145
"19" 0.3693 "0.8" 0.08 "Max Youden - uncorrected" 0.0766095606393128 0.0432967032967029 0.108361064891847 0.0650643615951441
"20" 0.0145 "0.8" 0.08 "High specificity - uncorrected" 0.0681523485889022 0.0104166666666655 0.121951219512194 0.111534552845528
"57" 0.2142 "0.9" 0.01 "Max Youden - uncorrected" 0.0172863662984613 -0.00294208733353982 0.0384264884568653 0.0413685757904051
"58" 0.0126 "0.9" 0.01 "High specificity - uncorrected" 0.0122170137650531 -0.00352822580645179 0.0265567765567767 0.0300850023632285
"63" 0.3402 "0.8" 0.01 "Max Youden - uncorrected" -0.00376667073925152 -0.0389610389610389 0.0300865800865801 0.069047619047619
"64" 0.0093 "0.8" 0.01 "High specificity - uncorrected" -0.011805274026326 -0.0657894736842117 0.0398126463700243 0.105602120054236
"69" 0.3595 "0.8" 0.08 "Max Youden - uncorrected" 0.0978617883322702 0.0656610470275068 0.129974048442907 0.0643130014154002
"70" 0.0137 "0.8" 0.08 "High specificity - uncorrected" 0.0665816314766202 0.00561797752808928 0.121333333333332 0.115715355805243
"71" 0.271 "0.85" 0.04 "Max Youden - uncorrected" 0.0297073628680607 0.00110051357300061 0.0561613958560522 0.0550608822830516
"72" 0.0118 "0.85" 0.04 "High specificity - uncorrected" 0.0159874164435531 -0.0339506172839503 0.050739957716701 0.0846905750006513
"75" 0.3576 "0.8" 0.04 "Max Youden - uncorrected" 0.0675189307045603 0.0337328007101639 0.10319829424307 0.0694654935329061
"76" 0.0158 "0.8" 0.04 "High specificity - uncorrected" 0.0779748091875081 0.0170212765957428 0.12967032967033 0.112649053074587
"85" 0.3258 "0.8" 0.04 "Max Youden - uncorrected" 0.0672569726393988 0.0340121317157713 0.102536997885835 0.0685248661700637
"86" 0.0137 "0.8" 0.04 "High specificity - uncorrected" 0.0429788324850359 0.00862068965517148 0.0758547008546997 0.0672340111995282
"87" 0.2922 "0.85" 0.08 "Max Youden - uncorrected" 0.0981289579627374 0.0717009916094586 0.124273255813954 0.0525722642044954
"88" 0.0199 "0.85" 0.08 "High specificity - uncorrected" 0.0750670665190574 0.0419708029197075 0.104734576757532 0.0627637738378245
"113" 0.3539 "0.8" 0.01 "Max Youden - uncorrected" 0.0467468144610238 0.0132643884892087 0.0809184128399465 0.0676540243507378
"114" 0.0078 "0.8" 0.01 "High specificity - uncorrected" -0.0297082362540355 -0.0812720848056526 0.0329670329670324 0.114239117772685
"117" 0.3501 "0.8" 0.08 "Max Youden - uncorrected" 0.0785394502719507 0.0455540954883923 0.111618798955613 0.0660647034672207
"118" 0.0161 "0.8" 0.08 "High specificity - uncorrected" 0.0919059386494066 0.0379310344827582 0.143141153081511 0.105210118598753
"119" 0.251 "0.85" 0.01 "Max Youden - uncorrected" 0.0236342552614001 -0.00377358490566038 0.050088809946714 0.0538623948523744
"120" 0.0129 "0.85" 0.01 "High specificity - uncorrected" 0.0311107773744557 -0.00357142857142817 0.0641025641025632 0.0676739926739914
"121" 0.3075 "0.85" 0.08 "Max Youden - uncorrected" 0.0608377355257997 0.0342465753424657 0.0869565217391307 0.052709946396665
"122" 0.0226 "0.85" 0.08 "High specificity - uncorrected" 0.106360289611115 0.0776293823038404 0.137130801687764 0.0595014193839236
"123" 0.3537 "0.8" 0.08 "Max Youden - uncorrected" 0.0898793512630339 0.0566987740805605 0.123246918827029 0.0665481447464685
"124" 0.0182 "0.8" 0.08 "High specificity - uncorrected" 0.102452175008842 0.0630733944954136 0.140957446808511 0.0778840523130974
"125" 0.2949 "0.85" 0.01 "Max Youden - uncorrected" 0.0155894421203169 -0.012665406427221 0.0436057163796263 0.0562711228068473
